case_id,image_path,mask_path,model,checkpoint,threshold,stride,prediction_shape,target_shape,tp_voxels,fp_voxels,fn_voxels,tn_voxels,dice,iou,precision,recall,sensitivity,specificity,true_volume_ml,pred_volume_ml,abs_volume_error_ml
098.nii.gz,data/raw/images/098.nii.gz,data/raw/masks/098.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,0,226634,0,12025866,0.0,0.0,0.0,1.0,1.0,0.9815030401958784,0.0,1133.17,1133.17
099.nii.gz,data/raw/images/099.nii.gz,data/raw/masks/099.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,0,339495,0,11913005,0.0,0.0,0.0,1.0,1.0,0.9722917771883289,0.0,1697.475,1697.475
100.nii.gz,data/raw/images/100.nii.gz,data/raw/masks/100.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,30x650x650,30x650x650,0,277348,0,12397652,0.0,0.0,0.0,1.0,1.0,0.9781185009861932,0.0,1386.74,1386.74
101.nii.gz,data/raw/images/101.nii.gz,data/raw/masks/101.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,0,278179,0,12819321,0.0,0.0,0.0,1.0,1.0,0.9787609085703378,0.0,1390.895,1390.895
102.nii.gz,data/raw/images/102.nii.gz,data/raw/masks/102.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,0,195591,0,12901909,0.0,0.0,0.0,1.0,1.0,0.985066539415919,0.0,977.955,977.955
103.nii.gz,data/raw/images/103.nii.gz,data/raw/masks/103.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,35x650x650,35x650x650,0,158600,0,14628900,0.0,0.0,0.0,1.0,1.0,0.9892747252747253,0.0,793.0,793.0
104.nii.gz,data/raw/images/104.nii.gz,data/raw/masks/104.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,0,250421,0,12002079,0.0,0.0,0.0,1.0,1.0,0.9795616404815344,0.0,1252.105,1252.105
105.nii.gz,data/raw/images/105.nii.gz,data/raw/masks/105.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,30x650x650,30x650x650,0,144578,0,12530422,0.0,0.0,0.0,1.0,1.0,0.9885934516765286,0.0,722.89,722.89
106.nii.gz,data/raw/images/106.nii.gz,data/raw/masks/106.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,0,119213,0,12133287,0.0,0.0,0.0,1.0,1.0,0.9902703121811876,0.0,596.065,596.065
107.nii.gz,data/raw/images/107.nii.gz,data/raw/masks/107.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,30x650x650,30x650x650,0,495823,0,12179177,0.0,0.0,0.0,1.0,1.0,0.9608818145956608,0.0,2479.115,2479.115
